filename,total_pages,new_start,new_end,new_pages,new_md_words,gt_words,coverage,jaccard,start_signals,end_signal,action,reason
ACME_Solar_Holdings_Ltd_.pdf,722,38,99,61,40794,40307,1.012,0.979,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
AGS_Transact_Technologies_Ltd_.pdf,477,26,62,36,27823,27658,1.006,0.994,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
ASK_Automotive_Ltd_.pdf,501,36,87,51,39958,38114,1.048,0.899,"high_degree_of_risk,header_section_risk_factors",section_introduction,WROTE_NEW,certified_clean
Aadhar_Housing_Finance_Ltd_.pdf,455,30,65,35,29573,28910,1.023,0.967,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Aastha_Spintex_Ltd_.pdf,412,24,66,42,29331,28949,1.013,0.996,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors",section_introduction,WROTE_NEW,certified_clean
Abans_Holdings_Ltd_.pdf,371,26,66,40,29018,28853,1.006,0.945,"internal_risk_factors_header,carefully_consider_risks_described,header_section_risk_factors,lose_all_or_part_investment,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
Adani_Wilmar_Ltd_.pdf,363,22,49,27,25048,24913,1.005,0.995,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Aditya_Birla_Sun_Life_AMC_Ltd_.pdf,397,27,55,28,24260,24124,1.006,0.992,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Aditya_Infotech_Ltd_.pdf,545,40,115,75,46613,47370,0.984,0.944,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Advance_Agrolife_Ltd_.pdf,488,35,41,6,2250,2182,1.031,0.956,"header_bare_risk_factors,material_adverse_effect_business",strict_next_section,WROTE_NEW,certified_clean
Advit_Jewels_Ltd_.pdf,467,26,81,55,33854,34755,0.974,0.953,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Aegis_Vopak_Terminals_Ltd_.pdf,568,40,78,38,26995,27191,0.993,0.963,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Aequs_Ltd_.pdf,704,40,98,58,39266,39041,1.006,0.944,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Aeroflex_Industries_Ltd_.pdf,444,39,71,32,24275,24097,1.007,0.998,"high_degree_of_risk,header_bare_risk_factors,lose_all_or_part_investment",the_offer_bare,WROTE_NEW,certified_clean
Aether_Industries_Ltd_.pdf,398,27,60,33,28965,28776,1.007,1.0,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Afcons_Infrastructure_Ltd_.pdf,764,43,108,65,40282,39560,1.018,0.962,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Affle__India__Ltd_.pdf,578,19,50,31,20698,20520,1.009,0.957,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Ajax_Engineering_Ltd_.pdf,403,31,68,37,30120,29829,1.01,0.966,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Akme_Fintrade__India__Ltd_.pdf,484,36,71,35,26144,25796,1.013,0.937,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Akums_Drugs___Pharmaceuticals_Ltd_.pdf,549,32,80,48,36848,36058,1.022,0.984,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
All_Time_Plastics_Ltd_.pdf,560,28,36,8,3894,3783,1.029,0.887,"header_bare_risk_factors,material_adverse_effect_business",strict_next_section,WROTE_NEW,certified_clean
Allied_Blenders___Distillers_Ltd_.pdf,629,38,89,51,39305,38984,1.008,0.919,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
Amagi_Media_Labs_Ltd_.pdf,517,59,97,38,33058,32416,1.02,0.972,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Amanta_Healthcare_Ltd_.pdf,506,35,82,47,36211,35701,1.014,0.933,"internal_risk_factors_header,header_section_risk_factors,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
Ami_Organics_Ltd_.pdf,401,24,61,37,27453,27282,1.006,0.992,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Amir_Chand_Jagdish_Kumar__Exports__Ltd_.pdf,520,38,112,74,46186,45000,1.026,0.935,"high_degree_of_risk,header_bare_risk_factors,lose_all_or_part_investment",strict_next_section,WROTE_NEW,certified_clean
Anand_Rathi_Share___Stock_Brokers_Ltd_.pdf,190,10,16,6,1974,1953,1.011,0.974,"internal_risk_factors_header,carefully_consider_risks_described,header_bare_risk_factors,lose_all_or_part_investment,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
Anand_Rathi_Wealth_Ltd_.pdf,441,28,61,33,24127,24000,1.005,0.995,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Angel_Broking_Ltd_.pdf,470,18,54,36,26880,26692,1.007,0.988,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
Anlon_Healthcare_Ltd_.pdf,409,36,86,50,32555,32333,1.007,0.988,"high_degree_of_risk,header_section_risk_factors",section_introduction,WROTE_NEW,certified_clean
Anthem_Biosciences_Ltd_.pdf,523,36,81,45,37708,37057,1.018,0.982,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
Antony_Waste_Handling_Cell_Ltd_.pdf,428,24,44,20,15601,15502,1.006,0.991,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Anupam_Rasayan_India_Ltd_.pdf,348,26,62,36,29926,29714,1.007,0.997,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Apeejay_Surrendra_Park_Hotels_Ltd_.pdf,564,33,105,72,51031,49267,1.036,0.837,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Aptus_Value_Housing_Finance_India_Ltd_.pdf,406,27,57,30,26124,25959,1.006,0.991,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Archean_Chemical_Industries_Ltd_.pdf,426,25,62,37,27595,27427,1.006,0.998,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Arisinfra_Solutions_Ltd_.pdf,673,48,94,46,34719,33634,1.032,0.904,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Arkade_Developers_Ltd_.pdf,473,31,63,32,23658,23387,1.012,0.923,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Ather_Energy_Ltd_.pdf,586,47,111,64,44082,43807,1.006,0.972,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Atlanta_Electricals_Ltd_.pdf,226,9,226,217,88885,92024,0.966,0.983,"high_degree_of_risk,internal_risk_factors_header,lose_all_or_part_investment",eof_fallback,WROTE_NEW,certified_clean
Avalon_Technologies_Ltd_.pdf,588,26,40,14,4141,4098,1.01,0.96,"header_bare_risk_factors,material_adverse_effect_business",strict_next_section,WROTE_NEW,certified_clean
Awfis_Space_Solutions_Ltd_.pdf,506,35,73,38,28932,28577,1.012,0.954,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Aye_Finance_Ltd_.pdf,614,37,82,45,33195,32780,1.013,0.957,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Azad_Engineering_Ltd_.pdf,438,31,67,36,32888,32295,1.018,0.988,"internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
BLS_E-Services_Ltd_.pdf,511,43,82,39,30265,29967,1.01,0.938,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
BMW_Ventures_Ltd_.pdf,487,37,96,59,36374,36469,0.997,0.969,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Baazar_Style_Retail_Ltd_.pdf,535,40,78,38,27397,27051,1.013,0.936,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Bajaj_Housing_Finance_Ltd_.pdf,547,40,85,45,35385,34533,1.025,0.927,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Bansal_Wire_Industries_Ltd_.pdf,487,38,83,45,27751,27835,0.997,0.937,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
Barak_Valley_Cements_Ltd_.pdf,265,10,21,11,6053,5965,1.015,0.866,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
Barbeque-Nation_Hospitality_Ltd_.pdf,593,36,75,39,28338,28147,1.007,0.985,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,header_bare_risk_factors,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
Belrise_Industries_Ltd_.pdf,593,44,101,57,36309,35335,1.028,0.971,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Bharat_Coking_Coal_Ltd_.pdf,564,35,78,43,33375,33018,1.011,0.993,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Bharti_Hexacom_Ltd_.pdf,536,38,73,35,26729,26578,1.006,0.926,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Bikaji_Foods_International_Ltd_.pdf,463,34,84,50,39296,38440,1.022,0.96,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Billionbrains_Garage_Ventures_Ltd_.pdf,568,41,89,48,33521,33117,1.012,0.98,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
BlueStone_Jewellery___Lifestyle_Ltd_.pdf,532,36,104,68,46847,46166,1.015,0.985,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Blue_Jet_Healthcare_Ltd_.pdf,396,32,65,33,24801,25186,0.985,0.927,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Borana_Weaves_Ltd_.pdf,417,39,79,40,30077,29334,1.025,0.965,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Brainbees_Solutions_Ltd_.pdf,682,86,146,60,40360,39555,1.02,0.964,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Brigade_Hotel_Ventures_Ltd_.pdf,437,26,33,7,3598,3586,1.003,0.912,"header_bare_risk_factors,material_adverse_effect_business",strict_next_section,WROTE_NEW,certified_clean
Burger_King_India_Ltd_.pdf,339,21,52,31,28578,28403,1.006,0.964,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
CMR_Green_Technologies_Ltd_.pdf,504,36,74,38,32641,32296,1.011,0.981,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
CMS_Info_Systems_Ltd_.pdf,560,14,48,34,26264,26187,1.003,0.984,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
CSB_Bank_Ltd_.pdf,604,22,52,30,24392,24292,1.004,0.989,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
CSM_Technologies_Ltd_.pdf,508,29,81,52,39399,38631,1.02,0.92,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
C_E_Info_systems_Ltd_.pdf,329,31,57,26,23140,23011,1.006,0.966,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Campus_Activewear_Ltd_.pdf,523,31,75,44,32224,32437,0.993,0.985,"high_degree_of_risk,header_section_risk_factors",section_introduction,WROTE_NEW,certified_clean
Canara_HSBC_Life_Insurance_Co_Ltd_.pdf,687,41,94,53,42787,42187,1.014,0.946,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
Canara_Robeco_Asset_Management_Co_Ltd_.pdf,639,35,84,49,34908,34599,1.009,0.962,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Capillary_Technologies_India_Ltd_.pdf,637,37,106,69,53648,52158,1.029,0.871,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Capital_Small_Finance_Bank_Ltd_.pdf,484,31,82,51,36696,36689,1.0,0.962,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
CarTrade_Tech_Ltd_.pdf,340,24,53,29,21353,21223,1.006,0.991,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Carraro_India_Ltd_.pdf,505,29,79,50,40356,39269,1.028,0.961,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Ceigall_India_Ltd_.pdf,473,37,79,42,33257,32894,1.011,0.991,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Cello_World_Ltd_.pdf,607,40,73,33,24185,23444,1.032,0.931,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Central_Mine_Planning___Design_Institute_Ltd_.pdf,556,41,87,46,32935,32211,1.022,0.955,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Chalet_Hotels_Ltd_.pdf,701,17,48,31,22567,22414,1.007,0.999,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Chemcon_Speciality_Chemicals_Ltd_.pdf,347,24,52,28,20624,20458,1.008,0.996,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Chemplast_Sanmar_Ltd_.pdf,520,30,57,27,19331,19307,1.001,0.99,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Clean_Max_Enviro_Energy_Solutions_Ltd_.pdf,994,48,103,55,49376,48072,1.027,0.916,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Clean_Science___Technology_Ltd_.pdf,331,22,57,35,31125,31065,1.002,0.992,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Computer_Age_Management_Services_Ltd_.pdf,301,21,47,26,22723,22743,0.999,0.993,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Concord_Biotech_Ltd_.pdf,380,29,61,32,24172,23868,1.013,0.953,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Concord_Enviro_Systems_Ltd_.pdf,611,33,101,68,48522,47302,1.026,0.957,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Corona_Remedies_Ltd_.pdf,545,34,90,56,42457,41187,1.031,0.946,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Craftsman_Automation_Ltd_.pdf,454,23,55,32,23858,23777,1.003,0.986,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors",section_introduction,WROTE_NEW,certified_clean
Credo_Brands_Marketing_Ltd_.pdf,397,30,72,42,35507,34903,1.017,0.965,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Crizac_Ltd_.pdf,486,40,75,35,24538,25019,0.981,0.957,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Cyient_DLM_Ltd_.pdf,375,26,30,4,2386,2243,1.064,0.769,"header_bare_risk_factors,material_adverse_effect_business",strict_next_section,WROTE_NEW,certified_clean
DAM_Capital_Advisors_Ltd_.pdf,405,25,30,5,2541,2391,1.063,0.794,"header_bare_risk_factors,material_adverse_effect_business",strict_next_section,WROTE_NEW,certified_clean
DCX_Systems_Ltd_.pdf,437,30,71,41,31857,31547,1.01,0.951,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
DEE_Development_Engineers_Ltd_.pdf,508,33,95,62,49407,48055,1.028,0.998,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
DOMS_Industries_Ltd_.pdf,506,35,73,38,27159,26250,1.035,0.916,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,header_bare_risk_factors",section_introduction,WROTE_NEW,certified_clean
Data_Patterns__India__Ltd_.pdf,414,36,68,32,25179,24911,1.011,0.98,"high_degree_of_risk,internal_risk_factors_header,carefully_consider_risks_described,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Deepak_Builders___Engineers_India_Ltd_.pdf,464,38,87,49,33978,33628,1.01,0.957,"high_degree_of_risk,header_section_risk_factors",section_introduction,WROTE_NEW,certified_clean
Delhivery_Ltd_.pdf,650,37,91,54,40915,40746,1.004,0.906,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Denta_Water___Infra_Solutions_Ltd_.pdf,423,34,72,38,29865,29568,1.01,0.993,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Dev_Accelerator_Ltd_.pdf,473,42,83,41,31774,31309,1.015,0.991,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Devyani_International_Ltd_.pdf,421,28,60,32,29592,29416,1.006,0.995,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Dharmaj_Crop_Guard_Ltd_.pdf,401,33,69,36,26988,26861,1.005,0.995,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
